Vivado Simulator 2019.2
Time resolution is 1 ps
clk=0, adresa=    x, writedata=    x, teli=    x,  output input_alu16bit_b=    x, output_alu16_result=    x, output_dm_readdata=    x; mux_selector=x; bnegate=x; regjistri0=    0, regjistri1=    x, regjistri2=    x, regjistri3=    x, regjistri4=    x, regjistri5=    x, regjistri6=    x, regjistri7=    x
clk=1, adresa=   10, writedata=    x, teli=    x,  output input_alu16bit_b=    x, output_alu16_result=    x, output_dm_readdata=    x; mux_selector=x; bnegate=x; regjistri0=    0, regjistri1=    x, regjistri2=    x, regjistri3=    x, regjistri4=    x, regjistri5=    x, regjistri6=    x, regjistri7=    x
clk=0, adresa=   10, writedata=    x, teli=    x,  output input_alu16bit_b=    x, output_alu16_result=    x, output_dm_readdata=    x; mux_selector=x; bnegate=x; regjistri0=    0, regjistri1=    x, regjistri2=    x, regjistri3=    x, regjistri4=    x, regjistri5=    x, regjistri6=    x, regjistri7=    x
clk=1, adresa=   11, writedata=  109, teli=    0,  output input_alu16bit_b=  109, output_alu16_result=  109, output_dm_readdata=    x; mux_selector=5; bnegate=0; regjistri0=    0, regjistri1=    x, regjistri2=    x, regjistri3=    x, regjistri4=    x, regjistri5=    x, regjistri6=    x, regjistri7=    x
clk=0, adresa=   11, writedata=  109, teli=    0,  output input_alu16bit_b=  109, output_alu16_result=  109, output_dm_readdata=    x; mux_selector=5; bnegate=0; regjistri0=    0, regjistri1=    x, regjistri2=    x, regjistri3=    x, regjistri4=    x, regjistri5=    x, regjistri6=    x, regjistri7=    x
clk=1, adresa=   12, writedata=  109, teli=    0,  output input_alu16bit_b=  109, output_alu16_result=  109, output_dm_readdata=    1; mux_selector=5; bnegate=0; regjistri0=    0, regjistri1=    x, regjistri2=  109, regjistri3=    x, regjistri4=    x, regjistri5=    x, regjistri6=    x, regjistri7=    x
clk=0, adresa=   12, writedata=  109, teli=    0,  output input_alu16bit_b=  109, output_alu16_result=  109, output_dm_readdata=    1; mux_selector=5; bnegate=0; regjistri0=    0, regjistri1=    x, regjistri2=  109, regjistri3=    x, regjistri4=    x, regjistri5=    x, regjistri6=    x, regjistri7=    x
clk=1, adresa=   13, writedata=  218, teli=  109,  output input_alu16bit_b=    0, output_alu16_result=  218, output_dm_readdata=    1; mux_selector=1; bnegate=0; regjistri0=    0, regjistri1=  109, regjistri2=  109, regjistri3=    x, regjistri4=    x, regjistri5=    x, regjistri6=    x, regjistri7=    x
clk=0, adresa=   13, writedata=  218, teli=  109,  output input_alu16bit_b=    0, output_alu16_result=  218, output_dm_readdata=    1; mux_selector=1; bnegate=0; regjistri0=    0, regjistri1=  109, regjistri2=  109, regjistri3=    x, regjistri4=    x, regjistri5=    x, regjistri6=    x, regjistri7=    x
clk=1, adresa=   14, writedata=  218, teli=  218,  output input_alu16bit_b=    0, output_alu16_result=  218, output_dm_readdata=    x; mux_selector=4; bnegate=1; regjistri0=    0, regjistri1=  218, regjistri2=  109, regjistri3=    x, regjistri4=    x, regjistri5=    x, regjistri6=    x, regjistri7=    x
clk=0, adresa=   14, writedata=  218, teli=  218,  output input_alu16bit_b=    0, output_alu16_result=  218, output_dm_readdata=    x; mux_selector=4; bnegate=1; regjistri0=    0, regjistri1=  218, regjistri2=  109, regjistri3=    x, regjistri4=    x, regjistri5=    x, regjistri6=    x, regjistri7=    x
clk=1, adresa=   15, writedata=  327, teli=  109,  output input_alu16bit_b=  218, output_alu16_result=  327, output_dm_readdata=    x; mux_selector=4; bnegate=0; regjistri0=    0, regjistri1=  218, regjistri2=  109, regjistri3=  218, regjistri4=    x, regjistri5=    x, regjistri6=    x, regjistri7=    x
clk=0, adresa=   15, writedata=  327, teli=  109,  output input_alu16bit_b=  218, output_alu16_result=  327, output_dm_readdata=    x; mux_selector=4; bnegate=0; regjistri0=    0, regjistri1=  218, regjistri2=  109, regjistri3=  218, regjistri4=    x, regjistri5=    x, regjistri6=    x, regjistri7=    x
clk=1, adresa=   16, writedata=  109, teli=    0,  output input_alu16bit_b=  109, o
